Date,Close,Contribution,CumulativeContribution,DcaOnlyValue,DcaStrategyValue,StrategyPosition,TrendScore
2026-01-02,70.085449,0.00,0.00,0.00,0.00,0.677355,0.800000
2026-01-05,71.185219,100.00,100.00,99.95,99.97,0.659809,0.800000
2026-01-06,72.444962,0.00,100.00,101.72,101.13,0.645248,1.000000
2026-01-07,72.574928,0.00,100.00,101.90,101.25,0.646050,0.800000
2026-01-08,71.735107,0.00,100.00,100.72,100.49,0.639853,0.800000
2026-01-09,73.124817,0.00,100.00,102.67,101.74,0.622975,1.000000
2026-01-12,73.254791,100.00,200.00,202.81,201.82,0.624952,1.000000
2026-01-13,72.994850,0.00,200.00,202.09,201.36,0.722292,1.000000
2026-01-14,71.475159,0.00,200.00,197.88,198.33,0.695434,1.000000
2026-01-15,71.925072,0.00,200.00,199.12,199.20,0.694251,1.000000
2026-01-16,71.735107,0.00,200.00,198.60,198.82,0.835508,1.000000
2026-01-20,68.715736,0.00,200.00,190.24,191.82,0.725409,1.000000
2026-01-21,70.525360,0.00,200.00,195.25,195.48,0.724609,1.000000
2026-01-22,71.595139,0.00,200.00,198.21,197.63,0.712847,1.000000
2026-01-23,72.035049,0.00,200.00,199.43,198.49,0.716951,1.000000
2026-01-26,72.644920,100.00,300.00,301.07,299.66,0.713791,1.000000
2026-01-27,73.944649,0.00,300.00,306.45,303.49,0.692478,1.000000
2026-01-28,74.344566,0.00,300.00,308.11,304.62,0.700168,1.000000
2026-01-29,73.504738,0.00,300.00,304.63,302.21,0.691574,0.800000
2026-01-30,71.695114,0.00,300.00,297.13,297.06,0.669342,0.800000
2026-02-02,72.714912,100.00,400.00,401.31,399.86,0.661717,1.000000
2026-02-03,70.445374,0.00,400.00,388.78,391.60,0.618638,0.800000
2026-02-04,67.965897,0.00,400.00,375.10,383.04,0.438984,0.600000
2026-02-05,66.026299,0.00,400.00,364.39,378.24,0.422073,0.600000
2026-02-06,68.775726,0.00,400.00,379.57,384.87,0.377289,0.600000
2026-02-09,69.815506,100.00,500.00,485.26,487.02,0.507366,0.800000
2026-02-10,69.165642,0.00,500.00,480.74,484.72,0.506531,0.800000
2026-02-11,69.505569,0.00,500.00,483.10,485.89,0.378855,0.600000
2026-02-12,66.676163,0.00,500.00,463.44,478.40,0.358531,0.600000
2026-02-13,66.906113,0.00,500.00,465.03,478.99,0.359311,0.600000
2026-02-17,66.756142,0.00,500.00,463.99,478.60,0.359299,0.600000
2026-02-18,67.735939,0.00,500.00,470.80,481.12,0.384305,0.600000
2026-02-19,67.226044,0.00,500.00,467.26,479.69,0.533680,0.800000
2026-02-20,68.385803,0.00,500.00,475.32,484.11,0.531320,0.800000
2026-02-23,66.736145,100.00,600.00,563.80,577.88,0.520230,0.800000
2026-02-24,68.115860,0.00,600.00,575.46,584.09,0.508107,0.800000
2026-02-25,70.065460,0.00,600.00,591.93,592.58,0.493776,0.800000
2026-02-26,68.425797,0.00,600.00,578.08,585.73,0.485691,0.800000
2026-02-27,67.975883,0.00,600.00,574.28,583.82,0.365131,0.600000
2026-03-02,68.115860,100.00,700.00,675.41,684.24,0.373240,0.600000
2026-03-03,66.666161,0.00,700.00,661.03,678.80,0.372796,0.600000
2026-03-04,68.635757,0.00,700.00,680.56,686.28,0.368888,0.600000
2026-03-05,68.245834,0.00,700.00,676.70,684.83,0.392718,0.600000
2026-03-06,66.176262,0.00,700.00,656.18,676.67,0.390390,0.600000
2026-03-09,67.925903,100.00,800.00,773.48,783.58,0.553285,0.800000
2026-03-10,67.895912,0.00,800.00,773.13,783.33,0.421718,0.600000
2026-03-11,67.885910,0.00,800.00,773.02,783.28,0.423610,0.600000
2026-03-12,65.566391,0.00,800.00,746.61,771.94,0.398188,0.600000
2026-03-13,64.746559,0.00,800.00,737.27,768.08,0.434514,0.600000
2026-03-16,66.176262,100.00,900.00,853.50,875.44,0.420148,0.600000
2026-03-17,66.836121,0.00,900.00,862.01,879.05,0.556789,0.800000
2026-03-18,64.936516,0.00,900.00,837.51,865.07,0.404420,0.600000
2026-03-19,64.516609,0.00,900.00,832.10,862.81,0.404682,0.600000
2026-03-20,62.117107,0.00,900.00,801.15,849.65,0.000000,0.200000
2026-03-23,63.566807,100.00,1000.00,919.80,949.65,0.000000,0.200000
2026-03-24,62.626999,0.00,1000.00,906.20,949.65,0.000000,0.200000
2026-03-25,63.430000,0.00,1000.00,917.82,949.65,0.000000,0.200000
2026-03-26,60.430000,0.00,1000.00,874.41,949.65,0.000000,0.200000
2026-03-27,58.049999,0.00,1000.00,839.97,949.65,0.000000,0.200000
2026-03-30,57.160000,100.00,1100.00,927.04,1049.65,0.000000,0.200000
2026-03-31,61.000000,0.00,1100.00,989.32,1049.65,0.000000,0.200000
2026-04-01,62.490002,0.00,1100.00,1013.49,1049.65,0.000000,0.200000
2026-04-02,62.599998,0.00,1100.00,1015.27,1049.65,0.000000,0.200000
2026-04-06,63.349998,100.00,1200.00,1127.38,1149.65,0.000000,0.200000
2026-04-07,63.389999,0.00,1200.00,1128.10,1149.65,0.000000,0.200000
2026-04-08,67.080002,0.00,1200.00,1193.76,1149.55,0.185546,0.400000
2026-04-09,68.010002,0.00,1200.00,1210.31,1152.40,0.369151,0.800000
2026-04-10,68.190002,0.00,1200.00,1213.52,1153.52,0.382939,0.800000
2026-04-13,69.589996,100.00,1300.00,1338.38,1262.57,0.382325,0.800000
2026-04-14,72.099998,0.00,1300.00,1386.65,1279.97,0.374659,1.000000
2026-04-15,74.110001,0.00,1300.00,1425.31,1293.33,0.369469,1.000000
2026-04-16,74.800003,0.00,1300.00,1438.58,1297.78,0.382707,1.000000
2026-04-17,76.730003,0.00,1300.00,1475.70,1310.59,0.381710,1.000000
2026-04-20,76.269997,100.00,1400.00,1566.80,1407.55,0.406262,1.000000
2026-04-21,75.669998,0.00,1400.00,1554.48,1403.05,0.404418,1.000000
2026-04-22,78.180000,0.00,1400.00,1606.04,1421.87,0.405891,1.000000
2026-04-23,77.300003,0.00,1400.00,1587.96,1415.37,0.399372,1.000000
2026-04-24,80.239998,0.00,1400.00,1648.36,1436.84,0.443836,1.000000
2026-04-27,80.290001,100.00,1500.00,1749.34,1537.17,0.504359,1.000000
2026-04-28,78.669998,0.00,1500.00,1714.04,1521.53,0.495871,1.000000
2026-04-29,79.639999,0.00,1500.00,1735.17,1530.76,0.581840,1.000000
2026-04-30,81.050003,0.00,1500.00,1765.90,1546.53,0.586022,1.000000
2026-05-01,82.599998,0.00,1500.00,1799.67,1563.87,0.590734,1.000000
2026-05-04,82.279999,100.00,1600.00,1892.64,1660.27,0.578193,1.000000
2026-05-05,84.389999,0.00,1600.00,1941.18,1684.88,0.579833,1.000000
2026-05-06,87.849998,0.00,1600.00,2020.77,1724.90,0.635657,1.000000
2026-05-07,87.660004,0.00,1600.00,2016.40,1722.51,0.623421,1.000000
2026-05-08,91.720001,0.00,1600.00,2109.79,1772.21,0.582515,1.000000
2026-05-11,92.260002,100.00,1700.00,2222.16,1878.26,0.580705,1.000000
2026-05-12,90.690002,0.00,1700.00,2184.34,1859.69,0.566261,1.000000
2026-05-13,92.550003,0.00,1700.00,2229.14,1881.28,0.573321,1.000000
